Test Case,Our Metrics_Distance Metric,Our Metrics_Visibility Metric,Our Metrics_Legibility Metric,Our Metrics_Nominal Trajectory Metric,Distance + Visibility_Distance Metric,Distance + Visibility_Visibility Metric,Distance + Visibility_Legibility Metric,Distance + Visibility_Nominal Trajectory Metric,Legibility_Distance Metric,Legibility_Visibility Metric,Legibility_Legibility Metric,Legibility_Nominal Trajectory Metric,Nominal Trajectory_Distance Metric,Nominal Trajectory_Visibility Metric,Nominal Trajectory_Legibility Metric,Nominal Trajectory_Nominal Trajectory Metric,Speed Control_Distance Metric,Speed Control_Visibility Metric,Speed Control_Legibility Metric,Speed Control_Nominal Trajectory Metric
120,0.655 +/- 0.0,1.0 +/- 0.0,0.6460113145261175 +/- 0.0,5.626359448363938 +/- 0.0,0.155 +/- 0.0,1.0 +/- 0.0,0.46004893282025383 +/- 0.0,0.5690697873351617 +/- 0.0,0.165 +/- 0.0,1.0 +/- 0.0,0.5237441356593047 +/- 0.0,1.0092660975662493 +/- 0.0,0.13 +/- 0.0,1.0 +/- 0.0,0.4655391719994397 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.019181797632535247 +/- 0.0,9.463303180127825 +/- 0.0
120,0.655 +/- 0.0,1.0 +/- 0.0,0.6460113145261175 +/- 0.0,5.626359448363938 +/- 0.0,0.155 +/- 0.0,1.0 +/- 0.0,0.46004893282025383 +/- 0.0,0.5690697873351617 +/- 0.0,0.165 +/- 0.0,1.0 +/- 0.0,0.5237441356593047 +/- 0.0,1.0092660975662493 +/- 0.0,0.13 +/- 0.0,1.0 +/- 0.0,0.4655391719994397 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.019181797632535247 +/- 0.0,9.463303180127825 +/- 0.0
120,0.655 +/- 0.0,1.0 +/- 0.0,0.6460113145261175 +/- 0.0,5.626359448363938 +/- 0.0,0.155 +/- 0.0,1.0 +/- 0.0,0.46004893282025383 +/- 0.0,0.5690697873351617 +/- 0.0,0.165 +/- 0.0,1.0 +/- 0.0,0.5237441356593047 +/- 0.0,1.0092660975662493 +/- 0.0,0.13 +/- 0.0,1.0 +/- 0.0,0.4655391719994397 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.019181797632535247 +/- 0.0,9.463303180127825 +/- 0.0
120,0.655 +/- 0.0,1.0 +/- 0.0,0.6460113145261175 +/- 0.0,5.626359448363938 +/- 0.0,0.155 +/- 0.0,1.0 +/- 0.0,0.46004893282025383 +/- 0.0,0.5690697873351617 +/- 0.0,0.165 +/- 0.0,1.0 +/- 0.0,0.5237441356593047 +/- 0.0,1.0092660975662493 +/- 0.0,0.13 +/- 0.0,1.0 +/- 0.0,0.4655391719994397 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.019181797632535247 +/- 0.0,9.463303180127825 +/- 0.0
120,0.655 +/- 0.0,1.0 +/- 0.0,0.6460113145261175 +/- 0.0,5.626359448363938 +/- 0.0,0.155 +/- 0.0,1.0 +/- 0.0,0.46004893282025383 +/- 0.0,0.5690697873351617 +/- 0.0,0.165 +/- 0.0,1.0 +/- 0.0,0.5237441356593047 +/- 0.0,1.0092660975662493 +/- 0.0,0.13 +/- 0.0,1.0 +/- 0.0,0.4655391719994397 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.019181797632535247 +/- 0.0,9.463303180127825 +/- 0.0
120,0.655 +/- 0.0,1.0 +/- 0.0,0.6460113145261175 +/- 0.0,5.626359448363938 +/- 0.0,0.155 +/- 0.0,1.0 +/- 0.0,0.46004893282025383 +/- 0.0,0.5690697873351617 +/- 0.0,0.165 +/- 0.0,1.0 +/- 0.0,0.5237441356593047 +/- 0.0,1.0092660975662493 +/- 0.0,0.13 +/- 0.0,1.0 +/- 0.0,0.4655391719994397 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.019181797632535247 +/- 0.0,9.463303180127825 +/- 0.0
120,0.655 +/- 0.0,1.0 +/- 0.0,0.6460113145261175 +/- 0.0,5.626359448363938 +/- 0.0,0.155 +/- 0.0,1.0 +/- 0.0,0.46004893282025383 +/- 0.0,0.5690697873351617 +/- 0.0,0.165 +/- 0.0,1.0 +/- 0.0,0.5237441356593047 +/- 0.0,1.0092660975662493 +/- 0.0,0.13 +/- 0.0,1.0 +/- 0.0,0.4655391719994397 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.019181797632535247 +/- 0.0,9.463303180127825 +/- 0.0
2610,1.0 +/- 0.0,1.0 +/- 0.0,0.347537652948974 +/- 0.0,2.464866304681659 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12033491318806977 +/- 0.0,0.19503631037091332 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
120,0.59 +/- 0.0,1.0 +/- 0.0,0.514831621761956 +/- 0.0,3.733227374174132 +/- 0.0,0.455 +/- 0.0,1.0 +/- 0.0,0.1011009529565714 +/- 0.0,0.5894096138344397 +/- 0.0,0.3 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.43 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.435 +/- 0.0,1.0 +/- 0.0,0.004781210185360041 +/- 0.0,2.4363427625449368 +/- 0.0
2620,1.0 +/- 0.0,1.0 +/- 0.0,0.35727159153754395 +/- 0.0,0.5905641304669192 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12424714362664446 +/- 0.0,0.016870729298455813 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
