Test Case,Our Metrics_Distance Metric,Our Metrics_Visibility Metric,Our Metrics_Legibility Metric,Our Metrics_Nominal Trajectory Metric,Distance + Visibility_Distance Metric,Distance + Visibility_Visibility Metric,Distance + Visibility_Legibility Metric,Distance + Visibility_Nominal Trajectory Metric,Legibility_Distance Metric,Legibility_Visibility Metric,Legibility_Legibility Metric,Legibility_Nominal Trajectory Metric,Nominal Trajectory_Distance Metric,Nominal Trajectory_Visibility Metric,Nominal Trajectory_Legibility Metric,Nominal Trajectory_Nominal Trajectory Metric,Speed Control_Distance Metric,Speed Control_Visibility Metric,Speed Control_Legibility Metric,Speed Control_Nominal Trajectory Metric
"120, 124, 144, 204, 240",0.9719999999999999 +/- 0.013266499161421611,1.0 +/- 0.0,0.6070854146537832 +/- 0.025247198627589347,10.967699463973366 +/- 0.5595990996607562,0.708 +/- 0.09942836617384394,1.0 +/- 0.0,0.7918593575548931 +/- 0.006435058480484605,3.7307999433742167 +/- 0.07273005186491534,0.7309999999999999 +/- 0.1461300790391903,1.0 +/- 0.0,0.9236480306384778 +/- 1.1102230246251565e-16,1.3698924014561704 +/- 0.0,0.717 +/- 0.14908386901338455,1.0 +/- 0.0,0.840788009883165 +/- 0.0,0.0 +/- 0.0,0.718 +/- 0.1482093114483702,1.0 +/- 0.0,0.8968340564736371 +/- 0.050704131937891646,0.6910810522888511 +/- 0.7005121990680113
"120, 124, 144, 204, 240",0.9719999999999999 +/- 0.013266499161421611,0.065 +/- 0.005477225575051663,0.6070854146537832 +/- 0.025247198627589347,10.967699463973366 +/- 0.5595990996607562,0.708 +/- 0.09942836617384394,0.454 +/- 0.0185472369909914,0.7918593575548931 +/- 0.006435058480484605,3.7307999433742167 +/- 0.07273005186491534,0.7309999999999999 +/- 0.1461300790391903,0.35 +/- 0.018708286933869705,0.9236480306384778 +/- 1.1102230246251565e-16,1.3698924014561704 +/- 0.0,0.717 +/- 0.14908386901338455,0.296 +/- 0.01655294535724685,0.840788009883165 +/- 0.0,0.0 +/- 0.0,0.718 +/- 0.1482093114483702,0.173 +/- 0.14147791347061914,0.8968340564736371 +/- 0.050704131937891646,0.6910810522888511 +/- 0.7005121990680113
"120, 124, 144, 204, 240",0.471 +/- 0.03006659275674582,0.8390000000000001 +/- 0.08546344247688598,0.42971261093904134 +/- 0.034440811324539376,9.325815441227196 +/- 0.6570394725193102,0.708 +/- 0.09942836617384394,0.454 +/- 0.0185472369909914,0.7918593575548931 +/- 0.006435058480484605,3.7307999433742167 +/- 0.07273005186491534,0.7309999999999999 +/- 0.1461300790391903,0.35 +/- 0.018708286933869705,0.9236480306384778 +/- 1.1102230246251565e-16,1.3698924014561704 +/- 0.0,0.717 +/- 0.14908386901338455,0.296 +/- 0.01655294535724685,0.840788009883165 +/- 0.0,0.0 +/- 0.0,0.718 +/- 0.1482093114483702,0.173 +/- 0.14147791347061914,0.8968340564736371 +/- 0.050704131937891646,0.6910810522888511 +/- 0.7005121990680113
120,0.435 +/- 0.0,0.99 +/- 0.0,0.484380602504 +/- 0.0,8.83560322396 +/- 0.0,0.695 +/- 0.0,1.0 +/- 0.0,0.153707421239 +/- 0.0,3.65798126517 +/- 0.0,0.575 +/- 0.0,1.0 +/- 0.0,0.0523945754915 +/- 0.0,1.36989240146 +/- 0.0,0.585 +/- 0.0,1.0 +/- 0.0,0.121350799552 +/- 0.0,0.0 +/- 0.0,0.585 +/- 0.0,1.0 +/- 0.0,0.112312810234 +/- 0.0,0.187662912197 +/- 0.0
131,0.385 +/- 0.0,1.0 +/- 0.0,0.438624648135 +/- 0.0,8.53187689587 +/- 0.0,0.43 +/- 0.0,1.0 +/- 0.0,0.142359219048 +/- 0.0,3.35850904852 +/- 0.0,0.475 +/- 0.0,1.0 +/- 0.0,0.0523945754915 +/- 0.0,1.36989240146 +/- 0.0,0.445 +/- 0.0,1.0 +/- 0.0,0.121350799552 +/- 0.0,0.0 +/- 0.0,0.445 +/- 0.0,1.0 +/- 0.0,-0.000587188138304 +/- 0.0,2.60664355753 +/- 0.0
120,0.46 +/- 0.0,1.0 +/- 0.0,0.410970863902 +/- 0.0,11.4814575724 +/- 0.0,0.77 +/- 0.0,1.0 +/- 0.0,0.20101704568 +/- 0.0,5.37133986039 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.0933800078957 +/- 0.0,3.11922086633 +/- 0.0,1.0 +/- 0.0,0.74 +/- 0.0,0.221324848138 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.74 +/- 0.0,0.221324848138 +/- 0.0,3.17128814786e-14 +/- 0.0
"120, 124, 144, 204, 240",0.5860000000000001 +/- 0.05535341001239219,0.9890000000000001 +/- 0.011135528725660053,0.45660519433595137 +/- 0.011714861512355556,13.810006693234271 +/- 1.7992858548249364,0.788 +/- 0.11342839150759389,0.8460000000000001 +/- 0.0722080327941428,0.3483929467639967 +/- 0.018461827628095225,6.090568749608271 +/- 2.5369397438772148,0.9949999999999999 +/- 1.1102230246251565e-16,0.687 +/- 0.0702566722810012,0.8995936356163495 +/- 0.0,19.456512724823178 +/- 0.0,1.0 +/- 0.0,0.579 +/- 0.040298883359219766,0.38915002006174504 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.579 +/- 0.040298883359219766,0.38915002006174493 +/- 0.0,3.7202274948238976e-14 +/- 0.0
"120, 124, 144, 204, 240",0.5860000000000001 +/- 0.05535341001239219,0.9890000000000001 +/- 0.011135528725660053,0.45660519433595137 +/- 0.011714861512355556,13.810006693234271 +/- 1.7992858548249364,0.788 +/- 0.11342839150759389,0.8460000000000001 +/- 0.0722080327941428,0.3483929467639967 +/- 0.018461827628095225,6.090568749608271 +/- 2.5369397438772148,0.9949999999999999 +/- 1.1102230246251565e-16,0.687 +/- 0.0702566722810012,0.8995936356163495 +/- 0.0,19.456512724823178 +/- 0.0,1.0 +/- 0.0,0.579 +/- 0.040298883359219766,0.38915002006174504 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.579 +/- 0.040298883359219766,0.38915002006174493 +/- 0.0,3.7202274948238976e-14 +/- 0.0
120,0.495 +/- 0.0,1.0 +/- 0.0,0.44037636166371763 +/- 0.0,11.51173823398797 +/- 0.0,0.68 +/- 0.0,0.905 +/- 0.0,0.3186849984509502 +/- 0.0,7.474430786111066 +/- 0.0,0.995 +/- 0.0,0.63 +/- 0.0,0.8995936356163495 +/- 0.0,19.456512724823178 +/- 0.0,1.0 +/- 0.0,0.59 +/- 0.0,0.38915002006174504 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.59 +/- 0.0,0.38915002006174493 +/- 0.0,3.7202274948238976e-14 +/- 0.0
"120, 124, 144, 204, 240",0.99 +/- 0.003162277660168382,0.9829999999999999 +/- 0.00509901951359279,0.5446298579325092 +/- 0.03847281956130258,23.285926727789143 +/- 0.7956170945057933,0.788 +/- 0.11342839150759389,0.8460000000000001 +/- 0.0722080327941428,0.3483929467639967 +/- 0.018461827628095225,6.090568749608271 +/- 2.5369397438772148,0.9949999999999999 +/- 1.1102230246251565e-16,0.687 +/- 0.0702566722810012,0.8995936356163495 +/- 0.0,19.456512724823178 +/- 0.0,1.0 +/- 0.0,0.579 +/- 0.040298883359219766,0.38915002006174504 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.579 +/- 0.040298883359219766,0.38915002006174493 +/- 0.0,3.7202274948238976e-14 +/- 0.0
