Test Case,Our Metrics_Distance Metric,Our Metrics_Visibility Metric,Our Metrics_Legibility Metric,Our Metrics_Nominal Trajectory Metric,Distance + Visibility_Distance Metric,Distance + Visibility_Visibility Metric,Distance + Visibility_Legibility Metric,Distance + Visibility_Nominal Trajectory Metric,Legibility_Distance Metric,Legibility_Visibility Metric,Legibility_Legibility Metric,Legibility_Nominal Trajectory Metric,Nominal Trajectory_Distance Metric,Nominal Trajectory_Visibility Metric,Nominal Trajectory_Legibility Metric,Nominal Trajectory_Nominal Trajectory Metric,Speed Control_Distance Metric,Speed Control_Visibility Metric,Speed Control_Legibility Metric,Speed Control_Nominal Trajectory Metric
120,0.995,0.825,0.5960168718989299,0.7791281211159248,0.985,0.985,0.2282830580391235,24.231770267653964,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.78,0.5733008265496494,0.0,0.995,0.48,0.5733008265496494,2.873159374375861e-14
124,1.0,0.73,0.588148780893775,0.75256548897198,0.96,0.985,0.2859944380214343,22.42238107856469,1.0,0.89,0.6993804510788701,2.278828785664521,1.0,0.67,0.5733008265496494,0.0,0.94,0.26,0.5733008265496494,2.873159374375861e-14
144,1.0,1.0,0.6917090447375017,3.4409134646546518,0.985,0.99,0.29670923568147073,24.41746190740943,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.75,0.5733008265496494,0.0,0.99,0.245,0.5733008265496494,2.873159374375861e-14
204,1.0,1.0,0.591992361220321,0.8212113353524793,0.985,0.99,0.2520414119120687,23.96081765801779,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.905,0.5733008265496494,0.0,1.0,0.61,0.5733008265496494,2.873159374375861e-14
120,0.995,0.825,0.5960168718989299,0.7791281211159248,0.985,0.985,0.2282830580391235,24.231770267653964,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.78,0.5733008265496494,0.0,0.995,0.48,0.5733008265496494,2.873159374375861e-14
124,1.0,0.73,0.588148780893775,0.75256548897198,0.96,0.985,0.2859944380214343,22.42238107856469,1.0,0.89,0.6993804510788701,2.278828785664521,1.0,0.67,0.5733008265496494,0.0,0.94,0.26,0.5733008265496494,2.873159374375861e-14
144,1.0,1.0,0.6917090447375017,3.4409134646546518,0.985,0.99,0.29670923568147073,24.41746190740943,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.75,0.5733008265496494,0.0,0.99,0.245,0.5733008265496494,2.873159374375861e-14
204,1.0,1.0,0.591992361220321,0.8212113353524793,0.985,0.99,0.2520414119120687,23.96081765801779,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.905,0.5733008265496494,0.0,1.0,0.61,0.5733008265496494,2.873159374375861e-14
240,1.0,0.77,0.5850751539874658,0.46485714285622,0.985,0.99,0.2387610064999354,23.976387789720587,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.74,0.5733008265496494,0.0,1.0,0.305,0.5733008265496494,2.873159374375861e-14
120,0.995,0.825,0.5960168718989299,0.7791281211159248,0.335,0.98,0.3287610232849044,16.69548572772954,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.78,0.5733008265496494,0.0,0.995,0.48,0.5733008265496494,2.873159374375861e-14
